id;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;hydroxyproline;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
3428;McDONALD'S, Premium Grilled Chicken Club Sandwich;100 g;221;8.1g;2.9g;46mg;462.00 mg;0;0;0;5.575 mg;0.826 mg;0.186 mg;0.172 mg;355.00 IU;0;0;0;0;0;0;0;0;4.4 mg;0;0;0;0;95.00 mg;0;1.37 mg;0;0;0;0;0;0;17.19 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.87 g;1.2 g;2.89 g;0;0;1.49 g;0.00 g;0.72 g;0.68 g;8.05 g;2.890 g;2.508 g;2.160 g;46.00 mg;0;2.38 g;0;0;52.52 g
8236;Beef, raw, Aust. marble score 9, separable lean only, boneless, top loin steak/roast, loin, Wagyu, imported, Australian;100 g;331;29g;10g;61mg;68.00 mg;0;0;0;0;0;0;0;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0;0;0.0 mg;0;0;0;0;4.00 mg;0;1.71 mg;0;0;0;0;0;0;16.92 g;0.978 g;1.138 g;1.558 g;0.180 g;2.756 g;0.754 g;0.558 g;0.085 g;0.741 g;1.401 g;1.523 g;0.494 g;0.660 g;0.697 g;0.665 g;0.766 g;0.194 g;0.600 g;0.783 g;0.13 g;0.0 g;0.00 g;0;0;0;0;0;0;29.15 g;10.309 g;15.368 g;1.079 g;61.00 mg;0.0 g;0.71 g;0.00 mg;0.00 mg;53.09 g
4137;Cookies, with extra creme filling, chocolate sandwich;100 g;497;25g;5.5g;0;351.00 mg;3.3 mg;46.00 mcg;34.00 mcg;1.937 mg;0.142 mg;0.120 mg;0.115 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;3.00 mcg;0;0.02 mcg;0.000 mg;0.0 mg;0.00 IU;1.89 mg;1.89 mg;6.2 mcg;16.00 mg;0.337 mg;7.80 mg;36.00 mg;0.497 mg;69.00 mg;137.00 mg;8.1 mcg;0.78 mg;4.33 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.20 g;2.7 g;46.00 g;0.36 g;0.00 g;1.10 g;0.00 g;0.00 g;44.53 g;24.52 g;5.454 g;16.076 g;2.471 g;0.00 mg;0.0 g;1.30 g;6.00 mg;190.00 mg;1.65 g
5298;Babyfood, junior, macaroni and tomato and beef, dinner;100 g;59;1.1g;0.4g;4mg;35.00 mg;10.4 mg;9.00 mcg;3.00 mcg;0.751 mg;0;0.055 mg;0.048 mg;691.00 IU;35.00 mcg;154.00 mcg;338.00 mcg;0.00 mcg;12.00 mcg;0;0.24 mcg;0.047 mg;1.5 mg;1.00 IU;0.81 mg;0.81 mg;6.7 mcg;14.00 mg;0.039 mg;0.36 mg;7.00 mg;0;44.00 mg;72.00 mg;8.4 mcg;0.36 mg;2.50 g;0.128 g;0.133 g;0.198 g;0.034 g;0.619 g;0.126 g;0.064 g;0;0.118 g;0.198 g;0.149 g;0.039 g;0.112 g;0.201 g;0.104 g;0.090 g;0.028 g;0.082 g;0.127 g;9.40 g;1.1 g;2.43 g;0;0;0;0;0;0;1.10 g;0.411 g;0.447 g;0.079 g;4.00 mg;0.0 g;0.30 g;0.00 mg;0.00 mg;86.70 g
8438;Infant formula, with DHA and ARA, not reconstituted, powder, with iron, ALIMENTUM ADVANCE, ABBOTT NUTRITION;100 g;517;28g;14g;8mg;224.00 mg;40.7 mg;76.00 mcg;76.00 mcg;6.870 mg;3.817 mg;0.458 mg;0.305 mg;1528.00 IU;458.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;2.29 mcg;0.305 mg;45.8 mg;229.00 IU;10.24 mg;10.24 mg;76.3 mcg;534.00 mg;0.382 mg;9.16 mg;38.00 mg;0;382.00 mg;598.00 mg;9.3 mcg;3.82 mg;13.99 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.91 g;0.0 g;34.18 g;0;0;0;0;0;0;28.19 g;14.282 g;2.276 g;8.877 g;8.00 mg;0.0 g;4.41 g;0.00 mg;0.00 mg;1.50 g
5981;Squash, without salt, mashed, boiled, cooked, acorn, winter;100 g;34;0.1g;;0;3.00 mg;0;11.00 mcg;0.00 mcg;0.531 mg;0.303 mg;0.008 mg;0.100 mg;817.00 IU;41.00 mcg;0.00 mcg;490.00 mcg;0.00 mcg;66.00 mcg;0;0.00 mcg;0.117 mg;6.5 mg;0.00 IU;0;0;0;26.00 mg;0.052 mg;0.56 mg;26.00 mg;0.146 mg;27.00 mg;263.00 mg;0.4 mcg;0.11 mg;0.67 g;0.028 g;0.037 g;0.072 g;0.006 g;0.118 g;0.025 g;0.013 g;0;0.026 g;0.038 g;0.025 g;0.008 g;0.026 g;0.024 g;0.026 g;0.020 g;0.010 g;0.023 g;0.029 g;8.79 g;2.6 g;0;0;0;0;0;0;0;0.08 g;0.017 g;0.006 g;0.035 g;0.00 mg;0;0.76 g;0;0;89.70 g
6291;Beef, raw, separable lean and fat, rump centre, imported, New Zealand;100 g;145;6.5g;2.2g;55mg;49.00 mg;0;0;0;2.716 mg;0.577 mg;0.117 mg;0.067 mg;24.00 IU;7.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;2.13 mcg;0.274 mg;0.0 mg;4.00 IU;0.31 mg;0.31 mg;0;4.00 mg;0.106 mg;2.29 mg;22.00 mg;0.009 mg;190.00 mg;341.00 mg;1.5 mcg;3.43 mg;21.65 g;1.127 g;1.424 g;0;0;3.019 g;1.179 g;0.780 g;0;0.900 g;1.633 g;1.714 g;0.712 g;0.842 g;0.695 g;0.761 g;0.784 g;0.227 g;0.728 g;0.956 g;0.00 g;0.0 g;0.00 g;0;0;0;0;0;0;6.50 g;2.200 g;2.199 g;0.304 g;55.00 mg;0.0 g;0.97 g;0.00 mg;0.00 mg;71.87 g
906;Beef sausage, cooked, fresh;100 g;332;28g;11g;82mg;813.00 mg;51.4 mg;3.00 mcg;0.00 mcg;3.600 mg;0.515 mg;0.150 mg;0.048 mg;81.00 IU;13.00 mcg;11.00 mcg;15.00 mcg;11.00 mcg;0.00 mcg;0;2.01 mcg;0.313 mg;0.0 mg;18.00 IU;0.24 mg;0.24 mg;1.1 mcg;11.00 mg;0.069 mg;1.57 mg;14.00 mg;0.000 mg;141.00 mg;258.00 mg;0.0 mcg;4.38 mg;18.21 g;1.257 g;1.209 g;1.768 g;0.208 g;2.986 g;1.280 g;0.653 g;0.283 g;0.864 g;1.492 g;1.607 g;0.408 g;0.752 g;0.921 g;0.770 g;0.805 g;0.118 g;0.579 g;0.989 g;0.35 g;0.0 g;0.00 g;0;0;0;0;0;0;27.98 g;10.905 g;12.639 g;0.663 g;82.00 mg;0.0 g;2.34 g;0.00 mg;0.00 mg;51.12 g
5687;CAMPBELL'S CHUNKY Soups, Chicken Broccoli Cheese & Potato Soup;100 g;86;4.5g;1.6g;8mg;359.00 mg;0;0;0;0;0;0;0;204.00 IU;0;0;0;0;0;0;0;0;0.0 mg;0;0;0;0;8.00 mg;0;0.00 mg;0;0;0;0;0;0;2.86 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.16 g;1.2 g;2.45 g;0;0;0;0;0;0;4.49 g;1.633 g;0;0;8.00 mg;0;1.24 g;0;0;83.22 g
127;Papaya nectar, canned;100 g;57;0.2g;;0;5.00 mg;2.0 mg;2.00 mcg;0.00 mcg;0.150 mg;0.054 mg;0.004 mg;0.006 mg;361.00 IU;18.00 mcg;0.00 mcg;91.00 mcg;251.00 mcg;25.00 mcg;0;0.00 mcg;0.009 mg;3.0 mg;0.00 IU;0.24 mg;0.24 mg;0.8 mcg;10.00 mg;0.013 mg;0.34 mg;3.00 mg;0.013 mg;0.00 mg;31.00 mg;0.3 mcg;0.15 mg;0.17 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.51 g;0.6 g;13.91 g;0;0;0;0;0;0;0.15 g;0.047 g;0.041 g;0.035 g;0.00 mg;0.0 g;0.15 g;0.00 mg;0.00 mg;85.02 g
